"S1" "S4" "S7" "S2" "S5" "S8" "S3" "S6" "S9"
"TSPAN6" 822 1509 1249 863 1453 600 1060 1379 1320
"TNMD" 9 41 8 9 26 4 7 35 8
"DPM1" 3622 3719 3845 3446 3566 2061 3660 6525 3818
"SCYL3" 1463 1122 1961 1577 1433 1071 1653 1260 2084
"C1orf112" 5887 3673 2049 3526 4066 1361 3081 3882 2149
"FGR" 611 332 508 501 215 600 297 240 371
"CFH" 76 120 2632 91 100 1918 83 180 20
"FUCA2" 2703 3045 3485 3246 3574 3895 2920 4671 2457
"GCLC" 1063 1482 2789 1186 1951 1575 1085 2850 1874
"NFYA" 2515 1977 2056 1995 2199 1163 1936 3610 1958
"STPG1" 200 200 350 247 157 236 250 243 275
"NIPAL3" 314 456 670 327 390 689 436 235 378
"LAS1L" 1476 1752 2877 1577 1852 1304 1879 1514 2197
"ENPP4" 612 173 415 505 182 371 464 141 114
"SEMA3F" 3431 4386 6403 5711 7349 3228 5359 3326 3886
"CFTR" 105 30 47 40 28 24 17 19 31
"ANKIB1" 3395 2650 4701 4262 3876 5216 3452 1579 4042
"CYP51A1" 4415 4290 2790 4167 3658 1617 3928 3604 2108
"KRIT1" 1778 1310 2113 1743 1563 1138 1987 1009 2238
"RAD52" 458 246 567 502 333 296 656 256 783
"BAD" 2777 3745 3748 2830 3078 1177 2611 2124 2320
"LAP3" 1601 1929 1804 11044 9603 11371 2157 2654 1670
"CD99" 0 0 0 1 0 0 0 0 0
"HS3ST1" 13 38 88 57 29 162 30 54 31
"AOC1" 5783 3469 25281 21341 6163 195664 7161 12586 534
"WNT16" 1 3 271 0 1 90 3 3 1
"HECW1" 20 26 23 15 10 27 20 16 14
"MAD1L1" 702 679 1377 689 696 678 766 514 987
"LASP1" 2849 2462 3809 2782 2100 3916 2787 2378 1984
"SNX11" 1196 880 1357 1209 1135 991 1069 1234 1084
"TMEM176A" 294 284 799 255 284 1055 221 231 283
"M6PR" 3705 3771 5595 3744 4181 3331 3908 4627 4511
"KLHL13" 38 43 532 26 35 112 53 15 39
"CYP26B1" 246 188 362 167 123 384 151 62 85
"ICA1" 330 653 1105 237 897 495 253 311 1078
"DBNDD1" 37 21 64 53 11 20 78 3 56
"ALS2" 1263 1202 1709 1226 1221 888 1466 2503 1596
"CASP10" 315 507 238 696 891 737 402 448 252
"CFLAR" 13055 9801 13933 14641 15624 17025 8262 15768 9931
"TFPI" 16092 12055 7863 12529 11376 7110 9148 5652 6188
"NDUFAF7" 3172 1330 2000 2558 1555 1433 2168 1580 1976
"RBM5" 6536 3980 6224 6084 5205 4571 7327 5477 8068
"MTMR7" 250 115 195 149 125 175 227 167 218
"SLC7A2" 3486 854 3459 1762 1008 2202 1939 889 1461
"ARF5" 5526 6007 7295 5570 6433 3081 5875 5882 6080
"SARM1" 1284 1773 3696 1613 1904 1655 1985 2101 2217
"POLDIP2" 2820 3059 4763 2967 3134 2293 3332 3743 3834
"PLXND1" 2654 3726 5042 2585 3349 2844 2868 2895 2577
"AK2" 4979 5399 6313 6091 6065 3817 5791 4516 5779
"CD38" 55 21 195 283 175 1493 22 41 46
"FKBP4" 4440 7338 7668 4447 6963 2883 5614 14833 5956
"KDM1A" 4086 5561 8160 4749 5423 4110 5156 4943 6796
"RBM6" 4783 3298 6189 4426 4077 4067 5116 3291 7129
"CAMKK1" 48 46 168 25 31 54 39 42 62
"RECQL" 1538 1403 2037 1588 1331 1286 1677 1001 1497
"VPS50" 693 580 993 734 796 659 966 578 1124
"HSPB6" 149 250 1111 96 250 433 118 300 88
"ARHGAP33" 65 100 63 47 56 34 47 81 62
"NDUFAB1" 2693 4541 3449 3061 4038 1482 3015 3424 3342
"PDK4" 11907 15949 7046 18962 22978 8582 8887 19424 8791
"SLC22A16" 19 12 7 17 21 45 7 1 2
"ZMYND10" 15 1 9 8 3 7 11 7 9
"ABCB5" 7 12 11 2 1 13 3 0 6
