"","Company","Assets","Sales","Market_Value","Profits","Cash_Flow","Employees","Sector"
"1","AirProducts",2687,1870,1890,145.7,352.2,18.2,"Other"
"2","AlliedSignal",13271,9115,8190,-279,83,143.8,"Other"
"3","AmericanElectricPower",13621,4848,4572,485,898.9,23.4,"Energy"
"4","AmericanSavingsBankFSB",3614,367,90,14.1,24.6,1.1,"Finance"
"5","AmericanAirlines",6425,6131,2448,345.8,682.5,49.5,"Transportation"
"6","AppleComputer",1022,1754,1370,72,119.5,4.8,"HiTech"
"7","ArmstrongWorldIndustries",1093,1679,1070,100.9,164.5,20.8,"Manufacturing"
"8","BallyManufacturing",1529,1295,444,25.6,137,19.4,"Other"
"9","BankSouth",2788,271,304,23.5,28.9,2.1,"Finance"
"10","BellAtlantic",19788,9084,10636,1092.9,2576.8,79.4,"Communication"
"11","H&RBlock",327,542,959,54.1,72.5,2.8,"Finance"
"12","BrooklynUnionGas",1117,1038,478,59.7,91.7,3.8,"Energy"
"13","CaliforniaFirstBank",5401,550,376,25.6,37.5,4.1,"Finance"
"14","CBIIndustries",1128,1516,430,-47,26.7,13.2,"Manufacturing"
"15","CentralIllinoisPublicService",1633,701,679,74.3,135.9,2.8,"Energy"
"16","Cigna",44736,16197,4653,-732.5,-651.9,48.5,"Finance"
"17","ClevelandElectricIlluminating",5651,1254,2002,310.7,407.9,6.2,"Energy"
"18","ColumbiaGasSystem",5835,4053,1601,-93.8,173.8,10.8,"Energy"
"19","CommunityPsychiatricCenters",278,205,853,44.8,50.5,3.8,"Medical"
"20","ContinentalTelecom",5074,2557,1892,239.9,578.3,21.9,"Communication"
"21","CrownCork&Seal",866,1487,944,71.7,115.4,12.6,"Other"
"22","Dayton-Hudson",4418,8793,4459,283.6,456.5,128,"Retail"
"23","DigitalEquipment",6914,7029,7957,400.6,754.7,87.3,"HiTech"
"24","DillardDepartmentStores",862,1601,1093,66.9,106.8,16,"Retail"
"25","Dreyfus",401,176,1084,55.6,57,0.7,"Finance"
"26","Eg&G",430,1155,1045,55.7,70.8,22.5,"HiTech"
"27","Ex-Cell-O",799,1140,683,57.6,89.2,15.4,"Other"
"28","FirstAmerican",4789,453,367,40.2,51.4,3,"Finance"
"29","FirstEmpireState",2548,264,181,22.2,26.2,2.1,"Finance"
"30","FirstTennesseeNational",5249,527,346,37.8,56.2,4.1,"Finance"
"31","FloridaProgress",3494,1653,1442,160.9,320.3,6.4,"Energy"
"32","Fruehauf",1804,2564,483,70.5,164.9,26.6,"Manufacturing"
"33","GeneralElectric",26432,28285,33172,2336,3562,304,"HiTech"
"34","GiantFood",623,2247,797,57,93.8,18.6,"Retail"
"35","GreatA&PTea",1608,6615,829,56.1,134,65,"Retail"
"36","Halliburton",4662,4781,2988,28.7,371.5,66.2,"Manufacturing"
"37","Hewlett-Packard",5769,6571,9462,482,792,83,"HiTech"
"38","HospitalCorpofAmerica",6259,4152,3090,283.7,524.5,62,"Medical"
"39","IdahoPower",1654,451,779,84.8,130.4,1.6,"Energy"
"40","IBM",52634,50056,95697,6555,9874,400.2,"HiTech"
"41","IUInternational",999,1878,393,-173.5,-108.1,23.3,"Transportation"
"42","KansasPower&Light",1679,1354,687,93.8,154.6,4.6,"Energy"
"43","Kroger",4178,17124,2091,180.8,390.4,164.6,"Retail"
"44","LizClaiborne",223,557,1040,60.6,63.7,1.9,"Other"
"45","LTV",6307,8199,598,-771.5,-524.3,57.5,"Manufacturing"
"46","MarineCorp",3720,356,211,26.6,34.8,2.4,"Finance"
"47","MayDepartmentStores",3442,5080,2673,235.4,361.5,77.3,"Retail"
"48","MellonBank",33406,3222,1413,201.7,246.7,15.8,"Finance"
"49","MesaPetroleum",1257,355,181,167.5,304,0.6,"Energy"
"50","MontanaPower",1743,597,717,121.6,172.4,3.5,"Energy"
"51","NationalCity",12505,1302,702,108.4,131.4,9,"Finance"
"52","NCR",3940,4317,3940,315.2,566.3,62,"HiTech"
"53","NorstarBancorp",8998,882,988,93,119,7.4,"Finance"
"54","Norwest",21419,2516,930,107.6,164.7,15.6,"Finance"
"55","Owens-CorningFiberglas",2366,3305,1117,131.2,256.5,25.2,"Manufacturing"
"56","PanAm",2448,3484,1036,48.8,257.1,25.4,"Transportation"
"57","PeoplesEnergy",1440,1617,639,81.7,126.4,3.5,"Energy"
"58","PhillipsPetroleum",14045,15636,2754,418,1462,27.3,"Energy"
"59","PPGIndustries",4084,4346,3023,302.7,521.7,37.5,"Manufacturing"
"60","PublicServiceCoofNewMexico",3010,749,1120,146.3,209.2,3.4,"Energy"
"61","RepublicAirlines",1286,1734,361,69.2,145.7,14.3,"Transportation"
"62","AHRobins",707,706,275,61.4,77.8,6.1,"Medical"
"63","SanDiegoGas&Electric",3086,1739,1507,202.7,335.2,4.9,"Energy"
"64","SharedMedicalSystems",252,312,883,41.7,60.6,3.3,"Medical"
"65","SoutheastBanking",11052,1097,606,64.9,97.6,7,"Finance"
"66","SovranFinancial",9672,1037,829,92.6,118.2,8.2,"Finance"
"67","Stop&ShoCos",1112,3689,542,30.3,96.9,43.5,"Retail"
"68","SupermarketsGeneral",1104,5123,910,63.7,133.3,48.5,"Retail"
"69","Telex",478,672,866,67.1,101.6,5.4,"HiTech"
"70","Textron",10348,5721,1915,223.6,322.5,49.5,"Manufacturing"
"71","TWA",2769,3725,663,-208.4,12.4,29.1,"Transportation"
"72","Turner",752,2149,101,11.1,15.2,2.6,"Manufacturing"
"73","UnitedFinancialGroup",4989,518,53,-3.1,-0.3,0.8,"Finance"
"74","UnitedTechnologies",10528,14992,5377,312.7,710.7,184.8,"Manufacturing"
"75","ValeroEnergy",1995,2662,341,34.7,100.7,2.3,"Energy"
"76","WarnerCommunications",2286,2235,2306,195.3,219,8,"Other"
"77","WesternAirLines",952,1307,309,35.4,92.8,10.3,"Transportation"
"78","WickesCos",2957,2806,457,40.6,93.5,50,"Retail"
"79","FWWoolworth",2535,5958,1921,177,288,118.1,"Retail"
