"","x"
"1",7.512
"2",7.502
"3",7.461
"4",7.562
"5",7.528
"6",7.459
"7",7.518
"8",7.537
"9",7.517
"10",7.605
"11",7.567
"12",7.551
"13",7.486
"14",7.528
"15",7.525
"16",7.581
"17",7.497
"18",7.548
"19",7.553
"20",7.544
"21",7.468
"22",7.539
"23",7.537
"24",7.554
"25",7.455
"26",7.459
"27",7.534
"28",7.467
"29",7.504
"30",7.508
"31",7.492
"32",7.466
"33",7.477
"34",7.504
"35",7.517
"36",7.506
"37",7.543
"38",7.524
"39",7.543
"40",7.505
"41",7.504
"42",7.574
"43",7.548
"44",7.527
"45",7.535
"46",7.537
"47",7.55
"48",7.49
"49",7.487
"50",7.464
"51",7.514
"52",7.504
"53",7.49
"54",7.514
"55",7.474
"56",7.512
"57",7.492
"58",7.486
"59",7.565
"60",7.58
"61",7.561
"62",7.511
"63",7.51
"64",7.482
"65",7.502
"66",7.54
"67",7.553
"68",7.554
"69",7.513
"70",7.536
"71",7.536
"72",7.543
"73",7.594
"74",7.571
"75",7.51
"76",7.542
"77",7.548
"78",7.531
"79",7.509
"80",7.535
"81",7.547
"82",7.549
"83",7.512
"84",7.554
"85",7.489
"86",7.553
"87",7.515
"88",7.531
"89",7.538
"90",7.453
"91",7.493
"92",7.537
"93",7.485
"94",7.5
"95",7.478
"96",7.545
"97",7.506
"98",7.566
"99",7.595
"100",7.567
"101",7.521
"102",7.521
"103",7.538
"104",7.531
"105",7.506
"106",7.484
"107",7.505
"108",7.535
"109",7.517
"110",7.53
"111",7.514
"112",7.526
"113",7.457
"114",7.485
"115",7.52
"116",7.498
"117",7.49
"118",7.581
"119",7.486
"120",7.543
"121",7.481
"122",7.491
"123",7.572
"124",7.499
"125",7.531
"126",7.523
"127",7.562
"128",7.631
"129",7.518
"130",7.518
"131",7.551
"132",7.565
"133",7.557
"134",7.526
"135",7.498
"136",7.544
"137",7.552
"138",7.566
"139",7.487
"140",7.54
"141",7.47
"142",7.497
"143",7.579
"144",7.523
"145",7.485
"146",7.612
"147",7.545
"148",7.539
"149",7.471
"150",7.468
"151",7.482
"152",7.504
"153",7.578
"154",7.547
"155",7.493
"156",7.477
"157",7.46
"158",7.501
"159",7.566
"160",7.501
"161",7.506
"162",7.501
"163",7.504
"164",7.429
"165",7.56
"166",7.541
"167",7.566
"168",7.492
"169",7.563
"170",7.532
"171",7.478
"172",7.526
"173",7.507
"174",7.477
"175",7.508
"176",7.523
"177",7.488
"178",7.451
"179",7.53
"180",7.514
"181",7.518
"182",7.535
"183",7.546
"184",7.517
"185",7.567
"186",7.501
"187",7.442
"188",7.512
"189",7.499
"190",7.499
"191",7.473
"192",7.563
"193",7.496
"194",7.488
"195",7.555
"196",7.548
"197",7.515
"198",7.51
"199",7.534
"200",7.535
"201",7.545
"202",7.492
"203",7.494
"204",7.551
"205",7.51
"206",7.483
